department	skill	source_path	source_commit	disposition	local_equivalents	destination	activation	sensitive	review	rationale
corporate-strategy	chief-strategy-officer	plugins/corporate-strategy/skills/chief-strategy-officer/SKILL.md	1f3f550	missing	-	organizations/corporate-strategy/skills/chief-strategy-officer	explicit	no	boundary-review	Distinct corporate-strategy workflow; no adequate local equivalent found in body-level comparison
corporate-strategy	mergers-and-acquisitions	plugins/corporate-strategy/skills/mergers-and-acquisitions/SKILL.md	1f3f550	missing	-	organizations/corporate-strategy/skills/mergers-and-acquisitions	candidate-auto	no	semantic-reviewed	Distinct corporate-strategy workflow; no adequate local equivalent found in body-level comparison
corporate-strategy	portfolio-strategy	plugins/corporate-strategy/skills/portfolio-strategy/SKILL.md	1f3f550	missing	-	organizations/corporate-strategy/skills/portfolio-strategy	candidate-auto	no	semantic-reviewed	Distinct corporate-strategy workflow; no adequate local equivalent found in body-level comparison
corporate-strategy	scenario-planning	plugins/corporate-strategy/skills/scenario-planning/SKILL.md	1f3f550	missing	-	organizations/corporate-strategy/skills/scenario-planning	candidate-auto	no	semantic-reviewed	Distinct corporate-strategy workflow; no adequate local equivalent found in body-level comparison
corporate-strategy	strategic-alliances	plugins/corporate-strategy/skills/strategic-alliances/SKILL.md	1f3f550	missing	-	organizations/corporate-strategy/skills/strategic-alliances	candidate-auto	no	semantic-reviewed	Distinct corporate-strategy workflow; no adequate local equivalent found in body-level comparison
customer-experience	chief-customer-officer	plugins/customer-experience/skills/chief-customer-officer/SKILL.md	1f3f550	missing	-	organizations/customer-experience/skills/chief-customer-officer	explicit	no	boundary-review	Distinct customer-experience workflow; no adequate local equivalent found in body-level comparison
customer-experience	escalation-management	plugins/customer-experience/skills/escalation-management/SKILL.md	1f3f550	missing	-	organizations/customer-experience/skills/escalation-management	candidate-auto	no	semantic-reviewed	Distinct customer-experience workflow; no adequate local equivalent found in body-level comparison
customer-experience	self-service-and-knowledge	plugins/customer-experience/skills/self-service-and-knowledge/SKILL.md	1f3f550	missing	-	organizations/customer-experience/skills/self-service-and-knowledge	candidate-auto	no	semantic-reviewed	Distinct customer-experience workflow; no adequate local equivalent found in body-level comparison
customer-experience	support-operations	plugins/customer-experience/skills/support-operations/SKILL.md	1f3f550	missing	-	organizations/customer-experience/skills/support-operations	candidate-auto	no	semantic-reviewed	Distinct customer-experience workflow; no adequate local equivalent found in body-level comparison
customer-experience	voice-of-customer	plugins/customer-experience/skills/voice-of-customer/SKILL.md	1f3f550	missing	-	organizations/customer-experience/skills/voice-of-customer	candidate-auto	no	semantic-reviewed	Distinct customer-experience workflow; no adequate local equivalent found in body-level comparison
